model,route,provider,prompt,ok,seconds,cost_usd,size,notes,file,error
"FLUX.2 [klein] 9B Base","runware","runware","p3-relaxus-logo","true","7.0","0.00247","","","runware/flux-2-klein-9b-base/p3-relaxus-logo.png",""
"FLUX.2 [klein] 9B Base","runware","runware","p4-robot-dog-neon","true","5.3","0.00169","","","runware/flux-2-klein-9b-base/p4-robot-dog-neon.png",""
"FLUX.2 [klein] 9B Base","runware","runware","p5-cat-windowsill","true","7.2","0.00338","","","runware/flux-2-klein-9b-base/p5-cat-windowsill.png",""
"FLUX.2 [klein] 9B KV","runware","runware","p1-magazine-cover","true","3.3","0.00078","","","runware/flux-2-klein-9b-kv/p1-magazine-cover.png",""
"FLUX.2 [klein] 9B KV","runware","runware","p2-pencil-sketch-tech","true","3.3","0.00169","","","runware/flux-2-klein-9b-kv/p2-pencil-sketch-tech.png",""
"FLUX.2 [klein] 9B KV","runware","runware","p3-relaxus-logo","true","3.8","0.00169","","","runware/flux-2-klein-9b-kv/p3-relaxus-logo.png",""
"FLUX.2 [klein] 9B KV","runware","runware","p4-robot-dog-neon","true","3.0","0.00078","","","runware/flux-2-klein-9b-kv/p4-robot-dog-neon.png",""
"FLUX.2 [klein] 9B KV","runware","runware","p5-cat-windowsill","true","4.3","0.00078","","","runware/flux-2-klein-9b-kv/p5-cat-windowsill.png",""
"FLUX.2 [klein] 4B Base","runware","runware","p1-magazine-cover","true","4.5","0.0013","","","runware/flux-2-klein-4b-base/p1-magazine-cover.png",""
"FLUX.2 [klein] 4B Base","runware","runware","p2-pencil-sketch-tech","true","5.1","0.0013","","","runware/flux-2-klein-4b-base/p2-pencil-sketch-tech.png",""
"FLUX.2 [klein] 4B Base","runware","runware","p3-relaxus-logo","true","4.7","0.0013","","","runware/flux-2-klein-4b-base/p3-relaxus-logo.png",""
"FLUX.2 [klein] 4B Base","runware","runware","p4-robot-dog-neon","true","4.1","0.0013","","","runware/flux-2-klein-4b-base/p4-robot-dog-neon.png",""
"FLUX.2 [klein] 4B Base","runware","runware","p5-cat-windowsill","true","4.6","0.0013","","","runware/flux-2-klein-4b-base/p5-cat-windowsill.png",""
"Nano Banana 2 (Gemini 3.1 Flash)","runware","runware","p1-magazine-cover","true","13.0","0.06895","","model accepts fixed sizes only — used 1376x768","runware/nano-banana-2/p1-magazine-cover.png",""
"Nano Banana 2 (Gemini 3.1 Flash)","runware","runware","p2-pencil-sketch-tech","true","13.6","0.06895","","model accepts fixed sizes only — used 1200x896","runware/nano-banana-2/p2-pencil-sketch-tech.png",""
"Nano Banana 2 (Gemini 3.1 Flash)","runware","runware","p3-relaxus-logo","true","14.0","0.06895","","","runware/nano-banana-2/p3-relaxus-logo.png",""
"Nano Banana 2 (Gemini 3.1 Flash)","runware","runware","p4-robot-dog-neon","true","13.3","0.06895","","model accepts fixed sizes only — used 1376x768","runware/nano-banana-2/p4-robot-dog-neon.png",""
"Nano Banana 2 (Gemini 3.1 Flash)","runware","runware","p5-cat-windowsill","true","12.2","0.06895","","","runware/nano-banana-2/p5-cat-windowsill.png",""
"Seedream 5.0 Lite","runware","runware","p1-magazine-cover","true","74.1","0.035","","negativePrompt not supported — retried without it; pixel budget 3686400-10404496 — used 2608x1472","runware/seedream-5-0-lite/p1-magazine-cover.png",""
"Seedream 5.0 Lite","runware","runware","p2-pencil-sketch-tech","true","75.7","0.035","","negativePrompt not supported — retried without it; pixel budget 3686400-10404496 — used 2256x1696","runware/seedream-5-0-lite/p2-pencil-sketch-tech.png",""
"Seedream 5.0 Lite","runware","runware","p3-relaxus-logo","true","30.0","0.035","","negativePrompt not supported — retried without it; pixel budget 3686400-10404496 — used 1952x1952","runware/seedream-5-0-lite/p3-relaxus-logo.png","invalidPixels: Invalid image pixels. Total pixels (width x height) must be between 3686400 and 10404496."
"Seedream 5.0 Lite","runware","runware","p4-robot-dog-neon","true","56.0","0.035","","negativePrompt not supported — retried without it; pixel budget 3686400-10404496 — used 2608x1472","runware/seedream-5-0-lite/p4-robot-dog-neon.png",""
"Seedream 5.0 Lite","runware","runware","p5-cat-windowsill","true","56.9","0.035","","negativePrompt not supported — retried without it; pixel budget 3686400-10404496 — used 1952x1952","runware/seedream-5-0-lite/p5-cat-windowsill.png",""
"Qwen-Image 3.0 Pro","runware","runware","p1-magazine-cover","true","93.6","0.04","","","runware/qwen-image-3-0-pro/p1-magazine-cover.png",""
"Qwen-Image 3.0 Pro","runware","runware","p2-pencil-sketch-tech","true","48.4","0.04","","","runware/qwen-image-3-0-pro/p2-pencil-sketch-tech.png",""
"Qwen-Image 3.0 Pro","runware","runware","p3-relaxus-logo","true","46.8","0.04","","","runware/qwen-image-3-0-pro/p3-relaxus-logo.png",""
"Qwen-Image 3.0 Pro","runware","runware","p4-robot-dog-neon","true","53.2","0.04","","","runware/qwen-image-3-0-pro/p4-robot-dog-neon.png",""
"Qwen-Image 3.0 Pro","runware","runware","p5-cat-windowsill","true","53.5","0.04","","","runware/qwen-image-3-0-pro/p5-cat-windowsill.png",""
"Seedream 5.0 Pro","runware","runware","p1-magazine-cover","true","364.2","0.04815","","negativePrompt not supported — retried without it; pixel budget 921600-4624220 — used 1312x736","runware/seedream-5-0-pro/p1-magazine-cover.png",""
"Seedream 5.0 Pro","runware","runware","p2-pencil-sketch-tech","true","121.3","0.04815","","negativePrompt not supported — retried without it; pixel budget 921600-4624220 — used 1136x848","runware/seedream-5-0-pro/p2-pencil-sketch-tech.png",""
"Seedream 5.0 Pro","runware","runware","p3-relaxus-logo","true","95.5","0.04815","","negativePrompt not supported — retried without it","runware/seedream-5-0-pro/p3-relaxus-logo.png",""
"Seedream 5.0 Pro","runware","runware","p4-robot-dog-neon","true","96.1","0.04815","","negativePrompt not supported — retried without it; pixel budget 921600-4624220 — used 1312x736","runware/seedream-5-0-pro/p4-robot-dog-neon.png",""
"Seedream 5.0 Pro","runware","runware","p5-cat-windowsill","true","233.7","0.04815","","negativePrompt not supported — retried without it","runware/seedream-5-0-pro/p5-cat-windowsill.png",""
"Ideogram 4.0","runware","runware","p1-magazine-cover","true","25.6","0.06","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 2560x1440","runware/ideogram-4-0/p1-magazine-cover.png",""
"Ideogram 4.0","runware","runware","p2-pencil-sketch-tech","true","21.8","0.06","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 2304x1728","runware/ideogram-4-0/p2-pencil-sketch-tech.png",""
"Ideogram 4.0","runware","runware","p3-relaxus-logo","true","18.2","0.06","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 2048x2048","runware/ideogram-4-0/p3-relaxus-logo.png","unsupportedDimensions: Unsupported use of width/height parameters. The specified dimensions are not supported for the selected model. Supported values are: '2048x2048'  '1440x2880'  '2880x1440'  '1664x2496'  '2496x1664'  '1792x2240'  '2240x1792'  '1440x2560'  '2560x1440'  '1600x2560'  '2560x1600'  '1728x2304'  '2304x1728'  '1296x3168'  '3168x1296'  '1152x2944'  '2944x1152'  '1248x3328'  '3328x1248'  '1280x3072'  '3072x1280'  '1024x3072'  '3072x1024'."
"Ideogram 4.0","runware","runware","p4-robot-dog-neon","true","23.8","0.06","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 2560x1440","runware/ideogram-4-0/p4-robot-dog-neon.png",""
"Ideogram 4.0","runware","runware","p5-cat-windowsill","true","22.5","0.06","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 2048x2048","runware/ideogram-4-0/p5-cat-windowsill.png",""
"Wan 2.7 Image Pro","runware","runware","p1-magazine-cover","true","31.1","0.075","","negativePrompt not supported — retried without it","runware/wan-2-7-image-pro/p1-magazine-cover.png",""
"Wan 2.7 Image Pro","runware","runware","p2-pencil-sketch-tech","true","27.1","0.075","","negativePrompt not supported — retried without it","runware/wan-2-7-image-pro/p2-pencil-sketch-tech.png",""
"Wan 2.7 Image Pro","runware","runware","p3-relaxus-logo","true","22.9","0.075","","negativePrompt not supported — retried without it","runware/wan-2-7-image-pro/p3-relaxus-logo.png",""
"Wan 2.7 Image Pro","runware","runware","p4-robot-dog-neon","true","32.0","0.075","","negativePrompt not supported — retried without it","runware/wan-2-7-image-pro/p4-robot-dog-neon.png",""
"Wan 2.7 Image Pro","runware","runware","p5-cat-windowsill","true","28.6","0.075","","negativePrompt not supported — retried without it","runware/wan-2-7-image-pro/p5-cat-windowsill.png",""
"Qwen-Image 2.0 Pro","runware","runware","p1-magazine-cover","true","11.1","0.075","","","runware/qwen-image-2-0-pro/p1-magazine-cover.png",""
"Qwen-Image 2.0 Pro","runware","runware","p2-pencil-sketch-tech","true","10.2","0.075","","","runware/qwen-image-2-0-pro/p2-pencil-sketch-tech.png",""
"Qwen-Image 2.0 Pro","runware","runware","p3-relaxus-logo","true","11.0","0.075","","","runware/qwen-image-2-0-pro/p3-relaxus-logo.png",""
"Qwen-Image 2.0 Pro","runware","runware","p4-robot-dog-neon","true","12.3","0.075","","","runware/qwen-image-2-0-pro/p4-robot-dog-neon.png",""
"Qwen-Image 2.0 Pro","runware","runware","p5-cat-windowsill","true","12.5","0.075","","","runware/qwen-image-2-0-pro/p5-cat-windowsill.png",""
"HunyuanImage 3.0 Instruct","runware","runware","p1-magazine-cover","false","2170.5","","","","","still  processing  after 1800s of polling"
"HunyuanImage 3.0 Instruct","runware","runware","p2-pencil-sketch-tech","false","2173.1","","","","","still  processing  after 1800s of polling"
"HunyuanImage 3.0 Instruct","runware","runware","p3-relaxus-logo","false","2172.4","","","","","still  processing  after 1800s of polling"
"HunyuanImage 3.0 Instruct","runware","runware","p4-robot-dog-neon","false","2171.8","","","","","still  processing  after 1800s of polling"
"HunyuanImage 3.0 Instruct","runware","runware","p5-cat-windowsill","false","2173.0","","","","","still  processing  after 1800s of polling"
"GPT Image 2 (high)","runware","runware","p1-magazine-cover","true","50.1","0.003955","","negativePrompt not supported — retried without it; pixel budget 655360-8294400 — used 1104x624","runware/gpt-image-2-high/p1-magazine-cover.png",""
"GPT Image 2 (high)","runware","runware","p2-pencil-sketch-tech","true","33.6","0.01678","","negativePrompt not supported — retried without it","runware/gpt-image-2-high/p2-pencil-sketch-tech.png",""
"GPT Image 2 (high)","runware","runware","p3-relaxus-logo","true","25.3","0.00602","","negativePrompt not supported — retried without it","runware/gpt-image-2-high/p3-relaxus-logo.png",""
"GPT Image 2 (high)","runware","runware","p4-robot-dog-neon","true","37.0","0.002985","","negativePrompt not supported — retried without it; pixel budget 655360-8294400 — used 1104x624","runware/gpt-image-2-high/p4-robot-dog-neon.png",""
"GPT Image 2 (high)","runware","runware","p5-cat-windowsill","true","40.7","0.00599","","negativePrompt not supported — retried without it","runware/gpt-image-2-high/p5-cat-windowsill.png",""
